molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2029434,active,9.337242168318426,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,556.6710000000003,4.587200000000004,2.0,8.0
CHEMBL2029427,active,6.0,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(NC)nc32)c1,338.37100000000004,2.3463000000000003,2.0,5.0
CHEMBL2032377,active,8.20620961530918,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N(C)C)cc4OC)nc32)c1,473.5370000000002,4.1228000000000025,2.0,7.0
CHEMBL2029425,active,8.453457336521868,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,556.6710000000003,4.587200000000005,2.0,8.0
CHEMBL2032378,active,7.530177984021837,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCCC5)cc4OC)nc32)c1,513.6020000000004,5.047100000000004,2.0,7.0
CHEMBL2032380,active,8.560667306169737,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,542.6440000000003,4.198700000000003,2.0,8.0
CHEMBL2029429,active,8.777283528852417,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,528.6170000000003,3.808600000000003,2.0,8.0
CHEMBL2029428,active,9.2518119729938,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,498.5910000000003,3.8000000000000025,2.0,7.0
CHEMBL2029432,active,8.709965388637482,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4C)nc32)c1,512.6180000000004,4.108420000000003,2.0,7.0
CHEMBL2029433,active,6.0,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4F)nc32)c1,516.5810000000004,3.9391000000000025,2.0,7.0
